NEIGHBORHOOD,ZIP_CODE,PROP_TYPE,SQUARE_FEET,LOT_SIZE,NO_BEDROOMS,TOTAL_BATHS,TOTAL_PARKING_RN,FURNISHED_RN,PETS_ALLOWED_RN,SEC_DEPOSIT_RN,TERM_OF_RENTAL_RN,RENT_FEE_INCLUDES_RN,RENTAL_TERMS_RN,LIST_PRICE,Predicted_Rent
nan,1420,SF,2200,0.56,4,3,0,nan,nan,nan,nan,nan,nan,519900.0,6602.24448603318
nan,2324,SF,2644,16117.0,5,3,0,nan,nan,nan,nan,nan,nan,674900.0,6130.671432992576
nan,2631,SF,1555,8712.0,3,2,0,nan,nan,nan,nan,nan,nan,649000.0,5506.69439819074
nan,2740,SF,1829,21719.0,3,1,0,nan,nan,nan,nan,nan,nan,375000.0,4122.253299096463
nan,1475,SF,536,2483.0,2,1,0,nan,nan,nan,nan,nan,nan,114000.0,3802.620716535807
nan,2370,SF,1604,8050.0,3,2,0,nan,nan,nan,nan,nan,nan,629000.0,5491.287964093317
nan,2368,SF,2294,15740.0,3,2,0,nan,nan,nan,nan,nan,nan,549900.0,5511.517304149711
nan,1960,SF,1527,7823.0,4,1,0,nan,nan,nan,nan,nan,nan,614900.0,4537.9075212782445
nan,2155,MF,1824,6000.0,4,2,0,nan,nan,nan,nan,nan,nan,899999.0,5328.691280259431
nan,2125,CC,895,,3,2,0,nan,nan,nan,nan,nan,nan,589000.0,4520.760579585626
nan,2072,SF,1296,8097.0,4,2,0,nan,nan,nan,nan,nan,nan,499000.0,5909.856307675502
Edgewater,2359,SF,2676,46032.0,3,3,0,nan,nan,nan,nan,nan,nan,849900.0,
nan,2143,MF,4924,2403.0,11,4,0,nan,nan,nan,nan,nan,nan,1775000.0,5562.82579857
nan,1915,SF,1764,11448.0,6,2,0,nan,nan,nan,nan,nan,nan,729900.0,6152.309872893295
nan,1851,SF,1622,6534.0,3,1,0,nan,nan,nan,nan,nan,nan,499998.0,4394.187765718536
nan,2048,CC,1615,,2,2,0,nan,nan,nan,nan,nan,nan,399000.0,5174.783983095227
nan,1720,SF,1696,18510.0,3,2,0,nan,nan,nan,nan,nan,nan,565000.0,6281.475861772438
nan,2134,CC,993,99999999.0,2,2,0,nan,nan,nan,nan,nan,nan,619000.0,5051.577514495002
